!A -> B, 11 51,	0.11397174, 0.34374997, 0.89667785
!A -> !B, 11 51,	0.21758243, 0.65625, 1.0642344 , valid negative
A -> B, 11 60,	0.65588695, 0.98121184, 0.9924292
A -> !B, 11 60,	0.0125588775, 0.018788159, 1.662228
!A -> B, 11 60,	0.33281004, 1.0037879, 1.0152633 , valid negative
!A -> !B, 11 60,	-0.0012558699, -0.003787827, -0.33511674
A -> B, 12 14,	0.16138148, 0.4817245, 1.040904 , valid positive
A -> !B, 12 14,	0.17362636, 0.5182755, 0.9647618
!A -> B, 12 14,	0.30141285, 0.45325777, 0.9793935
!A -> !B, 12 14,	0.3635793, 0.54674226, 1.0177522 , valid negative
A -> B, 12 23,	0.21381475, 0.638238, 1.1187607 , valid positive
A -> !B, 12 23,	0.121193096, 0.361762, 0.8422601
!A -> B, 12 23,	0.35667193, 0.5363551, 0.9401711
!A -> !B, 12 23,	0.30832022, 0.4636449, 1.0794657 , valid negative
A -> B, 12 50,	0.2210361, 0.6597938, 1.064022 , valid positive
A -> !B, 12 50,	0.11397174, 0.3402062, 0.8955014
!A -> B, 12 50,	0.39905807, 0.60009444, 0.96774715
!A -> !B, 12 50,	0.26593408, 0.3999056, 1.0526441 , valid negative
A -> B, 13 22,	0.18021978, 0.3333333, 1.0933745 , valid positive
A -> !B, 13 22,	0.3604396, 0.6666667, 0.9590485
!A -> B, 13 22,	0.12464677, 0.27136022, 0.89009506
!A -> !B, 13 22,	0.33469385, 0.7286398, 1.0482013 , valid negative
A -> B, 13 31,	0.4144427, 0.7665505, 0.96653336
A -> !B, 13 31,	0.12621668, 0.23344952, 1.1282803 , valid negative
!A -> B, 13 31,	0.37864992, 0.8243336, 1.0393914 , valid negative
!A -> !B, 13 31,	0.08069071, 0.17566639, 0.84900975
A -> B, 13 40,	0.53720564, 0.993612, 0.9983137
A -> !B, 13 40,	0.0034537315, 0.0063880086, 1.3563778
!A -> B, 13 40,	0.45808476, 0.99726593, 1.001985 , valid negative
!A -> !B, 13 40,	0.0012558699, 0.0027340709, 0.5805313
A -> B, 13 68,	0.3422292, 0.6329849, 1.0161576 , valid positive
A -> !B, 13 68,	0.19843018, 0.36701512, 0.97330827
!A -> B, 13 68,	0.28069073, 0.61107314, 0.9809819
!A -> !B, 13 68,	0.1786499, 0.38892683, 1.0314171 , valid negative
A -> B, 14 21,	0.33814758, 0.7306649, 1.0459181 , valid positive
A -> !B, 14 21,	0.12464675, 0.2693351, 0.89357525
!A -> B, 14 21,	0.36043954, 0.67095256, 0.96044225
!A -> !B, 14 21,	0.17676616, 0.32904744, 1.0916834 , valid negative
A -> B, 14 58,	0.46279433, 1.0, 0.9968701
A -> !B, 14 58,	0.0, 0.0, -0.0
!A -> B, 14 58,	0.54034543, 1.0058446, 1.0026964 , valid negative
!A -> !B, 14 58,	-0.0031397045, -0.0058445106, 1.8614666
A -> B, 15 20,	0.15792778, 0.24827246, 0.650286
A -> !B, 15 20,	0.47817895, 0.7517275, 1.2159736 , valid negative
!A -> B, 15 20,	0.22386184, 0.61518544, 1.6113205 , valid negative
!A -> !B, 15 20,	0.14003143, 0.38481456, 0.6224654
A -> B, 15 39,	0.22166406, 0.3484699, 1.1098768 , valid positive
A -> !B, 15 39,	0.41444266, 0.6515301, 0.9497132
!A -> B, 15 39,	0.09230767, 0.25366688, 0.80792904
!A -> !B, 15 39,	0.27158558, 0.74633306, 1.0879043 , valid negative
A -> B, 15 48,	0.59623235, 0.937315, 0.9908225
A -> !B, 15 48,	0.039874375, 0.06268501, 1.160767
!A -> B, 15 48,	0.34976453, 0.96117336, 1.016043 , valid negative
!A -> !B, 15 48,	0.014128745, 0.03882662, 0.7189699
A -> B, 15 66,	0.6031397, 0.94817376, 0.9996469
A -> !B, 15 66,	0.03296703, 0.05182624, 1.0065036
!A -> B, 15 66,	0.34536892, 0.949094, 1.0006171 , valid negative
!A -> !B, 15 66,	0.018524349, 0.050905995, 0.98863137
A -> B, 15 75,	0.16923077, 0.2660415, 1.0739444 , valid positive
A -> !B, 15 75,	0.46687597, 0.7339585, 0.9756502
!A -> B, 15 75,	0.078492925, 0.21570314, 0.8707409
!A -> !B, 15 75,	0.28540033, 0.7842968, 1.0425649 , valid negative
A -> B, 16 29,	0.366405, 0.99743587, 0.99869007
A -> !B, 16 29,	9.419322E-4, 0.0025641322, 2.0417314
!A -> B, 16 29,	0.6323391, 0.9995038, 1.0007606 , valid negative
!A -> !B, 16 29,	3.1393766E-4, 4.9622403E-4, 0.39512378
A -> B, 16 38,	0.27503926, 0.74871796, 1.0859138 , valid positive
A -> !B, 16 38,	0.09230769, 0.25128204, 0.809235
!A -> B, 16 38,	0.41444272, 0.6550869, 0.95011455
!A -> !B, 16 38,	0.21821034, 0.34491313, 1.1107669 , valid negative
A -> B, 16 56,	0.35290423, 0.9606837, 1.0128361 , valid positive
A -> !B, 16 56,	0.014442712, 0.039316297, 0.7635506
!A -> B, 16 56,	0.5956044, 0.9414393, 0.9925469
!A -> !B, 16 56,	0.037048668, 0.058560796, 1.1372933
A -> B, 16 74,	0.288854, 0.7863248, 1.0404837 , valid positive
A -> !B, 16 74,	0.07849294, 0.2136752, 0.87475
!A -> B, 16 74,	0.46687597, 0.7379652, 0.9764933
!A -> !B, 16 74,	0.16577709, 0.26203474, 1.0727258 , valid negative
A -> B, 17 19,	0.62166405, 0.792, 1.274 , valid positive
A -> !B, 17 19,	0.16326529, 0.208, 0.54977584
!A -> B, 17 19,	0.0, 0.0, 0.0
!A -> !B, 17 19,	0.21507066, 1.0, 2.6431534 , valid negative
A -> B, 17 28,	0.23516484, 0.2996, 0.96289206
A -> !B, 17 28,	0.5497645, 0.7004, 1.0167612 , valid negative
!A -> B, 17 28,	0.075981155, 0.3532846, 1.1354305 , valid negative
!A -> !B, 17 28,	0.13908951, 0.6467154, 0.93882805
A -> B, 17 46,	0.62166405, 0.792, 0.98690146
A -> !B, 17 46,	0.16326529, 0.208, 1.0532271 , valid negative
!A -> B, 17 46,	0.1808477, 0.84087574, 1.0478048 , valid negative
!A -> !B, 17 46,	0.03422296, 0.15912426, 0.8057404
A -> B, 17 55,	0.2467818, 0.31440002, 1.0218 , valid positive
A -> !B, 17 55,	0.53814757, 0.6856, 0.99031115
!A -> B, 17 55,	0.060910523, 0.28321168, 0.9204379
!A -> !B, 17 55,	0.15416014, 0.71678835, 1.0353608 , valid negative
A -> B, 17 64,	0.6200942, 0.79, 0.9563474
A -> !B, 17 64,	0.16483516, 0.20999998, 1.2073103 , valid negative
!A -> B, 17 64,	0.20596546, 0.95766413, 1.159316 , valid negative
!A -> !B, 17 64,	0.009105206, 0.04233588, 0.24339306
A -> B, 17 73,	0.21098901, 0.26880002, 1.0060259 , valid positive
A -> !B, 17 73,	0.57394034, 0.7312, 0.997803
!A -> B, 17 73,	0.056200936, 0.26131383, 0.9780077
!A -> !B, 17 73,	0.15886973, 0.7386862, 1.0080187 , valid negative
A -> B, 18 36,	0.21821035, 0.9985632, 1.0262742 , valid positive
A -> !B, 18 36,	3.1398237E-4, 0.0014368296, 0.05321286
!A -> B, 18 36,	0.7547881, 0.96584976, 0.99265295
!A -> !B, 18 36,	0.026687577, 0.034150235, 1.2647505
A -> B, 18 54,	0.15761381, 0.72126436, 1.0366547 , valid positive
A -> !B, 18 54,	0.060910523, 0.27873564, 0.9161745
!A -> B, 18 54,	0.53814757, 0.68863, 0.9897502
!A -> !B, 18 54,	0.2433281, 0.31137002, 1.0234401 , valid negative
A -> B, 18 72,	0.16232339, 0.74281603, 1.0088995 , valid positive
A -> !B, 18 72,	0.05620095, 0.25718397, 0.97515583
!A -> B, 18 72,	0.5739404, 0.73443156, 0.9975115
!A -> !B, 18 72,	0.2075353, 0.26556846, 1.0069472 , valid negative
A -> B, 19 44,	0.4913658, 0.7904041, 0.9637967
A -> !B, 19 44,	0.13029826, 0.20959592, 1.1650313 , valid negative
!A -> B, 19 44,	0.32872838, 0.86887956, 1.0594876 , valid negative
!A -> !B, 19 44,	0.049607575, 0.13112043, 0.72882813
A -> B, 19 62,	0.588697, 0.9469697, 0.98565304
A -> !B, 19 62,	0.03296703, 0.053030312, 1.351213
!A -> B, 19 62,	0.37205654, 0.98340255, 1.0235742 , valid negative
!A -> !B, 19 62,	0.006279409, 0.016597442, 0.42290312
A -> B, 19 71,	0.2310832, 0.37171715, 0.9957268
A -> !B, 19 71,	0.39058083, 0.62828285, 1.0025455 , valid negative
!A -> B, 19 71,	0.14222921, 0.37593365, 1.0070215 , valid negative
!A -> !B, 19 71,	0.23610674, 0.62406635, 0.99581736
A -> B, 2 13,	0.2932496, 0.61165684, 1.1313164 , valid positive
A -> !B, 2 13,	0.18618524, 0.38834316, 0.8454361
!A -> B, 2 13,	0.24740976, 0.47527146, 0.87905896
!A -> !B, 2 13,	0.2731554, 0.52472854, 1.1423516 , valid negative
A -> B, 2 22,	0.233281, 0.48657498, 1.5960262 , valid positive
A -> !B, 2 22,	0.24615385, 0.513425, 0.7385992
!A -> B, 2 22,	0.07158555, 0.13751507, 0.4510664
!A -> !B, 2 22,	0.44897962, 0.862485, 1.2407473 , valid negative
A -> B, 2 31,	0.4031397, 0.8408644, 1.0602349 , valid positive
A -> !B, 2 31,	0.07629514, 0.15913558, 0.7691149
!A -> B, 2 31,	0.3899529, 0.74909526, 0.94452435
!A -> !B, 2 31,	0.13061225, 0.2509047, 1.2126427 , valid negative
A -> B, 2 40,	0.47692308, 0.994761, 0.9994681
A -> !B, 2 40,	0.0025117695, 0.00523901, 1.1124129
!A -> B, 2 40,	0.5183673, 0.9957779, 1.0004898 , valid negative
!A -> !B, 2 40,	0.0021978319, 0.004222011, 0.89646894
A -> B, 2 68,	0.20879121, 0.43549445, 0.69911784
A -> !B, 2 68,	0.27064365, 0.5645056, 1.4970443 , valid negative
!A -> B, 2 68,	0.41412872, 0.79553676, 1.2771093 , valid negative
!A -> !B, 2 68,	0.10643645, 0.20446326, 0.5422277
A -> B, 20 24,	0.17425431, 0.4564145, 1.0541552 , valid positive
A -> !B, 20 24,	0.20753531, 0.54358554, 0.9586489
!A -> B, 20 24,	0.2587127, 0.4184865, 0.9665552
!A -> !B, 20 24,	0.35949767, 0.58151346, 1.0255374 , valid negative
A -> B, 20 42,	0.3133438, 0.8207237, 0.9631558
A -> !B, 20 42,	0.06844583, 0.17927629, 1.2123038 , valid negative
!A -> B, 20 42,	0.53877556, 0.8715084, 1.022754 , valid negative
!A -> !B, 20 42,	0.07943484, 0.1284916, 0.86888707
A -> B, 20 60,	0.37864992, 0.99177635, 1.0031146 , valid positive
A -> !B, 20 60,	0.0031397045, 0.008223653, 0.727563
!A -> B, 20 60,	0.6100471, 0.9867953, 0.99807656
!A -> !B, 20 60,	0.008163303, 0.013204733, 1.1682496
A -> B, 21 23,	0.39717427, 0.5685394, 0.9965866
A -> !B, 21 23,	0.30141285, 0.43146062, 1.0045338 , valid negative
!A -> B, 21 23,	0.1733124, 0.575, 1.0079113 , valid negative
!A -> !B, 21 23,	0.12810048, 0.42500004, 0.989492
A -> B, 21 50,	0.40941915, 0.58606744, 0.9451265
A -> !B, 21 50,	0.28916797, 0.41393256, 1.0895663 , valid negative
!A -> B, 21 50,	0.21067503, 0.6989583, 1.1271808 , valid negative
!A -> !B, 21 50,	0.09073785, 0.30104172, 0.7924114
A -> B, 21 69,	0.23799059, 0.34067416, 0.89525354
A -> !B, 21 69,	0.46059653, 0.65932584, 1.064345 , valid negative
!A -> B, 21 69,	0.14254317, 0.47291663, 1.2427719 , valid negative
!A -> !B, 21 69,	0.15886971, 0.52708334, 0.8508669
A -> B, 22 31,	0.24521193, 0.80432546, 1.0141634 , valid positive
A -> !B, 22 31,	0.059654623, 0.19567454, 0.9457108
!A -> B, 22 31,	0.54788065, 0.78816617, 0.9937883
!A -> !B, 22 31,	0.14725277, 0.21183382, 1.0238098 , valid negative
A -> B, 22 40,	0.30486655, 1.0, 1.0047319 , valid positive
A -> !B, 22 40,	0.0, 0.0, 0.0
!A -> B, 22 40,	0.69042385, 0.9932249, 0.9979247
!A -> !B, 22 40,	0.0047096014, 0.006775104, 1.4385728
A -> B, 22 68,	0.16232339, 0.5324408, 0.85475
A -> !B, 22 68,	0.14254317, 0.46755922, 1.2399467 , valid negative
!A -> B, 22 68,	0.46059653, 0.6626016, 1.0637027 , valid negative
!A -> !B, 22 68,	0.23453692, 0.3373984, 0.89476585
A -> B, 23 58,	0.57048666, 1.0, 0.9968701
A -> !B, 23 58,	0.0, 0.0, -0.0
!A -> B, 23 58,	0.43265307, 1.00731, 1.0041572 , valid negative
!A -> !B, 23 58,	-0.0031397343, -0.0073099807, 2.3282163
A -> B, 24 48,	0.4043956, 0.93401015, 0.987329
A -> !B, 24 48,	0.028571427, 0.06598985, 1.2219635
!A -> B, 24 48,	0.5416013, 0.95514965, 1.0096753 , valid negative
!A -> !B, 24 48,	0.025431663, 0.044850416, 0.83051527
A -> B, 24 66,	0.43296704, 1.0, 1.0542867 , valid positive
A -> !B, 24 66,	0.0, 0.0, 0.0
!A -> B, 24 66,	0.51554155, 0.90919155, 0.9585486
!A -> !B, 24 66,	0.05149135, 0.09080839, 1.7635651
A -> B, 25 29,	0.8941915, 0.9958042, 0.99705637
A -> !B, 25 29,	0.0037676692, 0.0041958094, 3.340962
!A -> B, 25 29,	0.10455263, 1.0246156, 1.025904 , valid negative
!A -> !B, 25 29,	-0.0025117993, -0.02461563, -19.600462
A -> B, 25 38,	0.611303, 0.6807692, 0.98736334
A -> !B, 25 38,	0.2866562, 0.3192308, 1.0280588 , valid negative
!A -> B, 25 38,	0.078179, 0.7661541, 1.1112026 , valid negative
!A -> !B, 25 38,	0.023861825, 0.23384586, 0.75308305
A -> B, 25 47,	0.17582418, 0.19580421, 0.9744318
A -> !B, 25 47,	0.722135, 0.80419576, 1.0064297 , valid negative
!A -> B, 25 47,	0.02511774, 0.24615383, 1.2249999 , valid negative
!A -> !B, 25 47,	0.07692309, 0.75384617, 0.9434185
A -> B, 25 56,	0.8467818, 0.943007, 0.99419975
A -> !B, 25 56,	0.051177382, 0.056993008, 1.1068454
!A -> B, 25 56,	0.10172683, 0.99692285, 1.0510424 , valid negative
!A -> !B, 25 56,	3.1399727E-4, 0.003077173, 0.059760932
A -> B, 25 65,	0.1676609, 0.18671328, 1.0525342 , valid positive
A -> !B, 25 65,	0.7302983, 0.8132867, 0.98867106
!A -> B, 25 65,	0.009733126, 0.09538462, 0.53769916
!A -> !B, 25 65,	0.0923077, 0.9046154, 1.0996946 , valid negative
A -> B, 25 74,	0.67974883, 0.75699306, 1.0016713 , valid positive
A -> !B, 25 74,	0.21821034, 0.24300694, 0.99482924
!A -> B, 25 74,	0.07598114, 0.7446151, 0.9852925
!A -> !B, 25 74,	0.026059687, 0.2553849, 1.0455024 , valid negative
A -> B, 27 36,	0.67786497, 0.97913826, 1.0063102 , valid positive
A -> !B, 27 36,	0.014442742, 0.020861745, 0.77261233
!A -> B, 27 36,	0.29513347, 0.9591838, 0.98580205
!A -> !B, 27 36,	0.012558818, 0.04081616, 1.5116224
A -> B, 27 54,	0.49293563, 0.71201813, 1.0233654 , valid positive
A -> !B, 27 54,	0.19937208, 0.28798187, 0.94656587
!A -> B, 27 54,	0.20282575, 0.65918374, 0.9474279
!A -> !B, 27 54,	0.104866534, 0.34081626, 1.1202269 , valid negative
A -> B, 27 72,	0.4700157, 0.67891157, 0.9221037
A -> !B, 27 72,	0.222292, 0.32108843, 1.2174604 , valid negative
!A -> B, 27 72,	0.26624805, 0.8653062, 1.1752666 , valid negative
!A -> !B, 27 72,	0.041444242, 0.1346938, 0.510714
A -> B, 28 44,	0.27723706, 0.8910192, 1.0864841 , valid positive
A -> !B, 28 44,	0.033908933, 0.108980775, 0.6057657
!A -> B, 28 44,	0.5428571, 0.78805834, 0.96093637
!A -> !B, 28 44,	0.14599687, 0.21194167, 1.1780701 , valid negative
A -> B, 28 62,	0.30518052, 0.9808274, 1.0208939 , valid positive
A -> !B, 28 62,	0.0059654713, 0.019172609, 0.48851767
!A -> B, 28 62,	0.655573, 0.95168644, 0.9905625
!A -> !B, 28 62,	0.03328094, 0.048313487, 1.2310286
A -> B, 29 34,	0.9532182, 0.9544169, 0.99994004
A -> !B, 29 34,	0.04552591, 0.04558313, 1.0012574
!A -> B, 29 34,	0.0012558699, 1.0, 1.0476973 , valid negative
!A -> !B, 29 34,	0.0, 0.0, 0.0
A -> B, 29 43,	0.15039246, 0.15058157, 0.9950255
A -> !B, 29 43,	0.84835166, 0.8494184, 1.000887 , valid negative
!A -> B, 29 43,	9.419173E-4, 0.75001186, 4.9559913 , valid negative
!A -> !B, 29 43,	3.1395257E-4, 0.24998814, 0.29456612
A -> B, 29 52,	0.9952904, 0.9965419, 0.9965419
A -> !B, 29 52,	0.0034537315, 0.0034580827, Infinity
!A -> B, 29 52,	0.0047096014, 3.7500713, 3.7500713 , valid negative
!A -> !B, 29 52,	-0.0034537315, -2.7500713, -Infinity
A -> B, 29 70,	0.63014126, 0.63093364, 1.0012574 , valid positive
A -> !B, 29 70,	0.36860287, 0.36906636, 0.99785763
!A -> B, 29 70,	0.0, 0.0, 0.0
!A -> !B, 29 70,	0.0012558699, 1.0, 2.7037349 , valid negative
A -> B, 3 12,	0.2919937, 0.32758012, 0.9778282
A -> !B, 3 12,	0.599372, 0.6724199, 1.0111696 , valid negative
!A -> B, 3 12,	0.04301414, 0.3959538, 1.181924 , valid negative
!A -> !B, 3 12,	0.065620095, 0.60404617, 0.9083509
A -> B, 3 21,	0.6135008, 0.6882705, 0.9852322
A -> !B, 3 21,	0.277865, 0.3117295, 1.0342275 , valid negative
!A -> B, 3 21,	0.085086346, 0.7832369, 1.1211729 , valid negative
!A -> !B, 3 21,	0.023547888, 0.21676305, 0.71915656
A -> B, 3 58,	0.89136577, 1.0, 0.99687004
A -> !B, 3 58,	0.0, 0.0, -0.0
!A -> B, 3 58,	0.11177397, 1.0289019, 1.0256815 , valid negative
!A -> !B, 3 58,	-0.0031397343, -0.028901886, 9.205201
A -> B, 31 40,	0.789011, 0.99485356, 0.9995611
A -> !B, 31 40,	0.004081607, 0.005146444, 1.0927558
!A -> B, 31 40,	0.2062794, 0.9969649, 1.0016824 , valid negative
!A -> !B, 31 40,	6.2799454E-4, 0.003035148, 0.6444596
A -> B, 31 68,	0.45620093, 0.5752177, 0.9234216
A -> !B, 31 68,	0.33689168, 0.42478228, 1.1265042 , valid negative
!A -> B, 31 68,	0.16671899, 0.8057662, 1.2935311 , valid negative
!A -> !B, 31 68,	0.040188402, 0.19423376, 0.5150995
A -> B, 34 38,	0.66091055, 0.69243425, 1.0042819 , valid positive
A -> !B, 34 38,	0.29356354, 0.30756575, 0.9904924
!A -> B, 34 38,	0.028571427, 0.62758607, 0.91022843
!A -> !B, 34 38,	0.016954482, 0.3724139, 1.199331 , valid negative
A -> B, 34 47,	0.19183673, 0.20098683, 1.0002235 , valid positive
A -> !B, 34 47,	0.7626374, 0.79901314, 0.9999438
!A -> B, 34 47,	0.009105191, 0.2000002, 0.99531347
!A -> !B, 34 47,	0.036420718, 0.79999983, 1.0011786 , valid negative
A -> B, 34 56,	0.9054945, 0.9486842, 1.0001851 , valid positive
A -> !B, 34 56,	0.04897958, 0.051315784, 0.99658966
!A -> B, 34 56,	0.04301411, 0.944827, 0.99611855
!A -> !B, 34 56,	0.0025117993, 0.055172965, 1.0714991
A -> B, 34 65,	0.15981162, 0.16743422, 0.9438548
A -> !B, 34 65,	0.7946625, 0.8325658, 1.0121076 , valid negative
!A -> B, 34 65,	0.017582417, 0.38620684, 2.1771128 , valid negative
!A -> !B, 34 65,	0.027943492, 0.6137932, 0.74615693
A -> B, 34 74,	0.7189953, 0.75328946, 0.9967707
A -> !B, 34 74,	0.23547882, 0.24671054, 1.009991 , valid negative
!A -> B, 34 74,	0.0367347, 0.80689657, 1.0677048 , valid negative
!A -> !B, 34 74,	0.008791208, 0.19310342, 0.7905326
A -> B, 36 45,	0.18021978, 0.18522105, 1.0101523 , valid positive
A -> !B, 36 45,	0.7927787, 0.8147789, 0.9977205
!A -> B, 36 45,	0.0031397194, 0.116279185, 0.63415956
!A -> !B, 36 45,	0.02386184, 0.8837208, 1.0821418 , valid negative
A -> B, 36 54,	0.6728414, 0.69151336, 0.99389446
A -> !B, 36 54,	0.300157, 0.30848664, 1.0139627 , valid negative
!A -> B, 36 54,	0.022919953, 0.8488381, 1.2200133 , valid negative
!A -> !B, 36 54,	0.004081607, 0.1511619, 0.49685308
A -> B, 36 72,	0.7073783, 0.7270087, 0.98742974
A -> !B, 36 72,	0.2656201, 0.2729913, 1.0350921 , valid negative
!A -> B, 36 72,	0.028885424, 1.0697687, 1.4529693 , valid negative
!A -> !B, 36 72,	-0.0018838644, -0.06976873, -0.26453978
A -> B, 38 52,	0.6872842, 0.9968124, 0.9968124
A -> !B, 38 52,	0.002197802, 0.0031875968, Infinity
!A -> B, 38 52,	0.31271583, 1.0070778, 1.0070778 , valid negative
!A -> !B, 38 52,	-0.002197802, -0.0070778565, -Infinity
A -> B, 38 70,	0.56577706, 0.8205828, 1.3022205 , valid positive
A -> !B, 38 70,	0.12370491, 0.1794172, 0.48509648
!A -> B, 38 70,	0.064364195, 0.20728005, 0.3289422
!A -> !B, 38 70,	0.24615383, 0.79271996, 2.1433046 , valid negative
A -> B, 39 42,	0.24709576, 0.78700006, 0.92357963
A -> !B, 39 42,	0.066875964, 0.21299994, 1.4403502 , valid negative
!A -> B, 39 42,	0.60502356, 0.88192225, 1.034975 , valid negative
!A -> !B, 39 42,	0.08100468, 0.11807776, 0.7984665
A -> B, 39 51,	0.14976452, 0.47700003, 1.244263 , valid positive
A -> !B, 39 51,	0.1642072, 0.523, 0.84814405
!A -> B, 39 51,	0.23359497, 0.34050342, 0.88820916
!A -> !B, 39 51,	0.4524333, 0.6594966, 1.0694994 , valid negative
A -> B, 39 60,	0.31083202, 0.99000007, 1.001318 , valid positive
A -> !B, 39 60,	0.0031397045, 0.009999931, 0.88471663
!A -> B, 39 60,	0.67786497, 0.98810065, 0.9993969
!A -> !B, 39 60,	0.008163273, 0.011899325, 1.0527575
A -> B, 40 68,	0.6166405, 0.6195584, 0.9946036
A -> !B, 40 68,	0.3786499, 0.3804416, 1.0089146 , valid negative
!A -> B, 40 68,	0.006279409, 1.3333207, 2.1404366 , valid negative
!A -> !B, 40 68,	-0.0015698075, -0.33332068, -0.88395196
A -> B, 42 48,	0.80502355, 0.944731, 0.9986619
A -> !B, 42 48,	0.047095776, 0.055269003, 1.0234407
!A -> B, 42 48,	0.14097333, 0.9532911, 1.0077107 , valid negative
!A -> !B, 42 48,	0.006907344, 0.0467089, 0.86492974
A -> B, 42 66,	0.82009417, 0.96241707, 1.0146635 , valid positive
A -> !B, 42 66,	0.03202516, 0.037582934, 0.7298882
!A -> B, 42 66,	0.12841445, 0.86836535, 0.915506
!A -> !B, 42 66,	0.019466221, 0.13163465, 2.5564406 , valid negative
A -> B, 42 75,	0.2477237, 0.2907148, 1.1735445 , valid positive
A -> !B, 42 75,	0.6043956, 0.7092852, 0.94285196
!A -> B, 42 75,	0.0, 0.0, 0.0
!A -> !B, 42 75,	0.14788067, 1.0, 1.3292987 , valid negative
A -> B, 43 74,	0.15133438, 1.0, 1.323224 , valid positive
A -> !B, 43 74,	0.0, 0.0, 0.0
!A -> B, 43 74,	0.6043956, 0.71217173, 0.94236267
!A -> !B, 43 74,	0.24427, 0.28782833, 1.1783203 , valid negative
A -> B, 44 46,	0.6637363, 0.80934155, 1.0085105 , valid positive
A -> !B, 44 46,	0.15635788, 0.19065845, 0.96541667
!A -> B, 44 46,	0.13877547, 0.7713784, 0.96120507
!A -> !B, 44 46,	0.041130364, 0.22862163, 1.1576467 , valid negative
A -> B, 44 55,	0.22982731, 0.28024504, 0.9107963
A -> !B, 44 55,	0.5902668, 0.71975493, 1.039646 , valid negative
!A -> B, 44 55,	0.077865005, 0.4328098, 1.4066317 , valid negative
!A -> !B, 44 55,	0.10204083, 0.56719023, 0.8192747
A -> B, 44 64,	0.6941915, 0.8464778, 1.0247176 , valid positive
A -> !B, 44 64,	0.12590265, 0.1535222, 0.88261396
!A -> B, 44 64,	0.13186812, 0.7329841, 0.88732594
!A -> !B, 44 64,	0.048037708, 0.26701584, 1.5351 , valid negative
A -> B, 44 73,	0.23171115, 0.28254214, 1.0574579 , valid positive
A -> !B, 44 73,	0.588383, 0.7174579, 0.9790503
!A -> B, 44 73,	0.0354788, 0.19720761, 0.7380802
!A -> !B, 44 73,	0.14442703, 0.8027924, 1.0954986 , valid negative
A -> B, 46 62,	0.7689168, 0.95813775, 0.9972773
A -> !B, 46 62,	0.033594966, 0.04186225, 1.0666516
!A -> B, 46 62,	0.19183677, 0.9713832, 1.0110638 , valid negative
!A -> !B, 46 62,	0.005651474, 0.028616762, 0.7291556
A -> B, 46 71,	0.32747254, 0.40805948, 1.0930777 , valid positive
A -> !B, 46 71,	0.4750392, 0.5919405, 0.9445544
!A -> B, 46 71,	0.045839876, 0.23211445, 0.62176996
!A -> !B, 46 71,	0.15164837, 0.76788557, 1.2253084 , valid negative
A -> B, 47 52,	0.20094192, 1.0, 1.0 , valid positive
A -> !B, 47 52,	0.0, 0.0, NaN
!A -> B, 47 52,	0.7990581, 1.0, 1.0 , valid negative
!A -> !B, 47 52,	0.0, 0.0, NaN
A -> B, 47 70,	0.15510204, 0.771875, 1.2249237 , valid positive
A -> !B, 47 70,	0.045839876, 0.22812498, 0.6167896
!A -> B, 47 70,	0.4750392, 0.594499, 0.94343764
!A -> !B, 47 70,	0.32401887, 0.405501, 1.0963674 , valid negative
